,openmlid,learner,metric
0,3,SVC_linear,0.0625
1,3,SVC_poly,0.0
2,3,SVC_rbf,0.125
3,3,SVC_sigmoid,0.125
4,3,sklearn.ensemble.ExtraTreesClassifier,0.0625
5,3,sklearn.ensemble.GradientBoostingClassifier,0.0625
6,3,sklearn.ensemble.RandomForestClassifier,0.0
7,3,sklearn.linear_model.LogisticRegression,0.1875
8,3,sklearn.linear_model.PassiveAggressiveClassifier,0.3125
9,3,sklearn.linear_model.Perceptron,0.3125
10,3,sklearn.linear_model.RidgeClassifier,0.0625
11,3,sklearn.linear_model.SGDClassifier,0.3125
12,3,sklearn.naive_bayes.BernoulliNB,0.0625
13,3,sklearn.naive_bayes.MultinomialNB,0.125
14,3,sklearn.neighbors.KNeighborsClassifier,0.0625
15,3,sklearn.neural_network.MLPClassifier,0.0
16,3,sklearn.tree.DecisionTreeClassifier,0.0
17,3,sklearn.tree.ExtraTreeClassifier,0.125
18,6,SVC_linear,0.4
19,6,SVC_poly,0.0
20,6,SVC_rbf,0.1
21,6,SVC_sigmoid,0.6
22,6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.1
23,6,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.0
24,6,sklearn.ensemble.ExtraTreesClassifier,0.05
25,6,sklearn.ensemble.GradientBoostingClassifier,0.1
26,6,sklearn.ensemble.RandomForestClassifier,0.0
27,6,sklearn.linear_model.LogisticRegression,0.0
28,6,sklearn.linear_model.PassiveAggressiveClassifier,0.35
29,6,sklearn.linear_model.Perceptron,0.25
30,6,sklearn.linear_model.RidgeClassifier,0.1
31,6,sklearn.linear_model.SGDClassifier,0.25
32,6,sklearn.naive_bayes.BernoulliNB,0.2
33,6,sklearn.naive_bayes.MultinomialNB,0.05
34,6,sklearn.neighbors.KNeighborsClassifier,0.05
35,6,sklearn.neural_network.MLPClassifier,0.0
36,6,sklearn.tree.DecisionTreeClassifier,0.0
37,6,sklearn.tree.ExtraTreeClassifier,0.05
38,11,SVC_linear,0.4
39,11,SVC_poly,0.1
40,11,SVC_rbf,0.0
41,11,SVC_sigmoid,0.4
42,11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.3
43,11,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.3
44,11,sklearn.ensemble.ExtraTreesClassifier,0.3
45,11,sklearn.ensemble.GradientBoostingClassifier,0.1
46,11,sklearn.ensemble.RandomForestClassifier,0.1
47,11,sklearn.linear_model.LogisticRegression,0.2
48,11,sklearn.linear_model.PassiveAggressiveClassifier,0.8
49,11,sklearn.linear_model.Perceptron,0.4
50,11,sklearn.linear_model.RidgeClassifier,0.2
51,11,sklearn.linear_model.SGDClassifier,0.5
52,11,sklearn.naive_bayes.BernoulliNB,0.0
53,11,sklearn.naive_bayes.MultinomialNB,0.2
54,11,sklearn.neighbors.KNeighborsClassifier,0.2
55,11,sklearn.neural_network.MLPClassifier,0.3
56,11,sklearn.tree.DecisionTreeClassifier,0.2
57,11,sklearn.tree.ExtraTreeClassifier,0.4
58,12,SVC_linear,0.07142857142857142
59,12,SVC_poly,0.0
60,12,SVC_rbf,0.14285714285714285
61,12,SVC_sigmoid,0.21428571428571427
62,12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.07142857142857142
63,12,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.15384615384615385
64,12,sklearn.ensemble.ExtraTreesClassifier,0.07142857142857142
65,12,sklearn.ensemble.GradientBoostingClassifier,0.0
66,12,sklearn.ensemble.RandomForestClassifier,0.07142857142857142
67,12,sklearn.linear_model.LogisticRegression,0.07142857142857142
68,12,sklearn.linear_model.PassiveAggressiveClassifier,0.42857142857142855
69,12,sklearn.linear_model.Perceptron,0.42857142857142855
70,12,sklearn.linear_model.RidgeClassifier,0.07142857142857142
71,12,sklearn.linear_model.SGDClassifier,0.21428571428571427
72,12,sklearn.naive_bayes.BernoulliNB,0.21428571428571427
73,12,sklearn.naive_bayes.MultinomialNB,0.21428571428571427
74,12,sklearn.neighbors.KNeighborsClassifier,0.07142857142857142
75,12,sklearn.neural_network.MLPClassifier,0.14285714285714285
76,12,sklearn.tree.DecisionTreeClassifier,0.0
77,12,sklearn.tree.ExtraTreeClassifier,0.07142857142857142
78,13,SVC_linear,0.5
79,13,SVC_poly,0.375
80,13,SVC_rbf,0.75
81,13,SVC_sigmoid,0.625
82,13,sklearn.ensemble.ExtraTreesClassifier,0.75
83,13,sklearn.ensemble.GradientBoostingClassifier,0.75
84,13,sklearn.ensemble.RandomForestClassifier,0.5
85,13,sklearn.linear_model.LogisticRegression,0.75
86,13,sklearn.linear_model.PassiveAggressiveClassifier,0.875
87,13,sklearn.linear_model.Perceptron,0.75
88,13,sklearn.linear_model.RidgeClassifier,0.75
89,13,sklearn.linear_model.SGDClassifier,0.875
90,13,sklearn.naive_bayes.BernoulliNB,0.75
91,13,sklearn.naive_bayes.MultinomialNB,0.625
92,13,sklearn.neighbors.KNeighborsClassifier,1.0
93,13,sklearn.neural_network.MLPClassifier,0.625
94,13,sklearn.tree.DecisionTreeClassifier,0.75
95,13,sklearn.tree.ExtraTreeClassifier,0.75
96,14,SVC_linear,0.07142857142857142
97,14,SVC_poly,0.07142857142857142
98,14,SVC_rbf,0.07142857142857142
99,14,SVC_sigmoid,0.5
100,14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.14285714285714285
101,14,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.07692307692307693
102,14,sklearn.ensemble.ExtraTreesClassifier,0.07142857142857142
103,14,sklearn.ensemble.GradientBoostingClassifier,0.0
104,14,sklearn.ensemble.RandomForestClassifier,0.07142857142857142
105,14,sklearn.linear_model.LogisticRegression,0.07142857142857142
106,14,sklearn.linear_model.PassiveAggressiveClassifier,0.21428571428571427
107,14,sklearn.linear_model.Perceptron,0.21428571428571427
108,14,sklearn.linear_model.RidgeClassifier,0.14285714285714285
109,14,sklearn.linear_model.SGDClassifier,0.14285714285714285
110,14,sklearn.naive_bayes.BernoulliNB,0.0
