,openmlid,learner,violation,acceptance
0,3,SVC_linear,-9.415987238567876e-05,0.0007193075741462882
1,3,SVC_poly,-4.955597843323654e-06,0.0007380537054656993
2,3,SVC_rbf,-0.00010866865375062103,0.0009300595238095219
3,3,SVC_sigmoid,-0.0025534911902066223,0.0017021431856778946
4,3,sklearn.ensemble.ExtraTreesClassifier,-0.0014955919395465813,0.000798750112450522
5,3,sklearn.ensemble.GradientBoostingClassifier,0.0,0.0011105749165275492
6,3,sklearn.ensemble.RandomForestClassifier,0.0,0.0007485645845523699
7,3,sklearn.linear_model.LogisticRegression,-4.624301216705088e-05,0.0008888934560999693
8,3,sklearn.linear_model.PassiveAggressiveClassifier,-9.300595238095208e-05,0.0009494357638888865
9,3,sklearn.linear_model.Perceptron,-0.0003071419293384122,0.0012078209791017232
10,3,sklearn.linear_model.RidgeClassifier,0.0,0.000895085755239227
11,3,sklearn.linear_model.SGDClassifier,-0.000262182203389807,0.000731310532687653
12,3,sklearn.naive_bayes.BernoulliNB,0.0,0.0007726924935567073
13,3,sklearn.naive_bayes.MultinomialNB,0.0,0.0008185295643153535
14,3,sklearn.neighbors.KNeighborsClassifier,-0.00018656716417910486,0.0007804726368159223
15,3,sklearn.neural_network.MLPClassifier,-3.2503714710255975e-05,0.0007562530955918798
16,3,sklearn.tree.DecisionTreeClassifier,-0.004626757650951223,0.0010304328116052684
17,3,sklearn.tree.ExtraTreeClassifier,-0.0007868478151175695,0.0006866572346817589
18,6,SVC_linear,-0.0004621724381303675,0.0007394885494058974
19,6,SVC_poly,-0.0004386345014496361,0.0003114626664985926
20,6,SVC_rbf,-0.0004576532266781959,0.00043516316554366685
21,6,SVC_sigmoid,-0.002450738916256163,0.0030172413793103864
22,6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0007126915950816947,0.0007103229745662822
23,6,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.003300944029703361,0.0018013587707864326
24,6,sklearn.ensemble.ExtraTreesClassifier,-0.0003583878770631734,0.0002900656987434899
25,6,sklearn.ensemble.GradientBoostingClassifier,-0.00044757649781434534,0.0004028992028799177
26,6,sklearn.ensemble.RandomForestClassifier,-0.0004057181016275318,0.0002809614030728458
27,6,sklearn.linear_model.LogisticRegression,-0.0004759467758444243,0.0003511315819401788
28,6,sklearn.linear_model.PassiveAggressiveClassifier,-0.0004334748761500363,0.0010420728801074568
29,6,sklearn.linear_model.Perceptron,-0.0005120530012771358,0.0005208333333333352
30,6,sklearn.linear_model.RidgeClassifier,-0.00022627049326077965,0.000368386281381054
31,6,sklearn.linear_model.SGDClassifier,-0.0006460985058107374,0.0004890373415553275
32,6,sklearn.naive_bayes.BernoulliNB,-0.0004888451443569232,0.0004035433070866336
33,6,sklearn.naive_bayes.MultinomialNB,-0.00021911573472041505,0.0003146944083224962
34,6,sklearn.neighbors.KNeighborsClassifier,-0.0003114244213584257,0.00032595551438899847
35,6,sklearn.neural_network.MLPClassifier,-0.00028542379198457106,0.0003364657327019209
36,6,sklearn.tree.DecisionTreeClassifier,-0.000517094017094015,0.00018441814595660807
37,6,sklearn.tree.ExtraTreeClassifier,-0.0003675729603353693,0.000168418453724605
38,11,SVC_linear,-0.0003831417624521049,0.016507024265644994
39,11,SVC_poly,-0.0031191104410101733,0.0017919964819701126
40,11,SVC_rbf,-0.003984989278055702,0.0026050353427051116
41,11,SVC_sigmoid,-0.01081058449170991,0.005975641526638117
42,11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0,0.005566385669125403
43,11,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.002856182795698892,0.005138476230899831
44,11,sklearn.ensemble.ExtraTreesClassifier,-0.0011152826855123246,0.0048255300353357055
45,11,sklearn.ensemble.GradientBoostingClassifier,-0.0015209471766848826,0.001325136612021858
46,11,sklearn.ensemble.RandomForestClassifier,-0.002852485737571337,0.003359311328443363
47,11,sklearn.linear_model.LogisticRegression,-0.005130853994490316,0.006133302724211807
48,11,sklearn.linear_model.PassiveAggressiveClassifier,-0.0020770010131712494,0.017178679982631367
49,11,sklearn.linear_model.Perceptron,-0.005834272829763248,0.02413432114672254
50,11,sklearn.linear_model.RidgeClassifier,0.0,0.008469985358711584
51,11,sklearn.linear_model.SGDClassifier,-0.0015652325988107774,0.014746664667965852
52,11,sklearn.naive_bayes.BernoulliNB,0.0,0.0
53,11,sklearn.naive_bayes.MultinomialNB,-0.009236375158428367,0.0029875067897881585
54,11,sklearn.neighbors.KNeighborsClassifier,-0.005599918099918062,0.005065008190008185
55,11,sklearn.neural_network.MLPClassifier,-0.012744384359400956,0.005913754853022752
56,11,sklearn.tree.DecisionTreeClassifier,-0.004652583798882685,0.002341567737430178
57,11,sklearn.tree.ExtraTreeClassifier,-0.0023052362707535125,0.010552362707535153
58,12,SVC_linear,-0.00011987639411804007,0.0011871519827760517
59,12,SVC_poly,-0.002817797512564938,0.0009958791208791212
60,12,SVC_rbf,-0.002250249750249751,0.0031089743589743602
61,12,SVC_sigmoid,-0.016292997542997532,0.001460673335673333
62,12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.004756534020788197,0.0026428045781568574
63,12,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.000504303388918772,0.0056511864204172035
64,12,sklearn.ensemble.ExtraTreesClassifier,-0.00015094086472344084,0.0011732857031049176
65,12,sklearn.ensemble.GradientBoostingClassifier,-0.0004876508560202076,0.001154223968565823
66,12,sklearn.ensemble.RandomForestClassifier,0.0,0.0010472851675656313
67,12,sklearn.linear_model.LogisticRegression,0.0,0.0009246479746914029
68,12,sklearn.linear_model.PassiveAggressiveClassifier,-0.0015112206002471356,0.0014414518189624515
69,12,sklearn.linear_model.Perceptron,-0.0019282552764695673,0.001178007260596548
70,12,sklearn.linear_model.RidgeClassifier,-0.0038637279935492537,0.0031346593199838768
71,12,sklearn.linear_model.SGDClassifier,-0.002535327535327525,0.0009980109980109986
72,12,sklearn.naive_bayes.BernoulliNB,-0.0016904299772825635,0.0016757147235234944
73,12,sklearn.naive_bayes.MultinomialNB,-0.0006906259913291603,0.001917891508935182
74,12,sklearn.neighbors.KNeighborsClassifier,-0.00014772055815644546,0.0009507143614684196
75,12,sklearn.neural_network.MLPClassifier,-0.005523757960141278,0.0028097595291500478
76,12,sklearn.tree.DecisionTreeClassifier,-0.0017749257249083093,0.0006832440825121206
77,12,sklearn.tree.ExtraTreeClassifier,-0.0001581719049479875,0.0007025750724461302
78,13,SVC_linear,-0.016102536674816634,0.010448502444987785
79,13,SVC_poly,-0.013522884882108132,0.016267914932963517
80,13,SVC_rbf,-0.022708185997171143,0.002397896039603998
81,13,SVC_sigmoid,-0.028673245614035135,0.022478070175438514
82,13,sklearn.ensemble.ExtraTreesClassifier,-0.023408385093167665,0.023572291235334764
83,13,sklearn.ensemble.GradientBoostingClassifier,-0.023799514200299004,0.011035594170403583
84,13,sklearn.ensemble.RandomForestClassifier,-0.027259651076466215,0.010822661469933183
85,13,sklearn.linear_model.LogisticRegression,-0.03794014084507012,0.02362089201877945
86,13,sklearn.linear_model.PassiveAggressiveClassifier,-0.021560470779220808,0.011515827922077912
87,13,sklearn.linear_model.Perceptron,-0.011226541554959765,0.08880697050938327
88,13,sklearn.linear_model.RidgeClassifier,-0.010964532871972299,0.008109861591695322
89,13,sklearn.linear_model.SGDClassifier,-0.027927442528735663,0.034554597701149534
90,13,sklearn.naive_bayes.BernoulliNB,-0.01227678571428573,0.025164753401360707
91,13,sklearn.naive_bayes.MultinomialNB,-0.03456526752767539,0.050651522140221554
92,13,sklearn.neighbors.KNeighborsClassifier,-0.03695133587786257,0.006997455470737917
93,13,sklearn.neural_network.MLPClassifier,-0.029331727337615947,0.0205433618843683
94,13,sklearn.tree.DecisionTreeClassifier,-0.033845427852348994,0.032954068791946386
95,13,sklearn.tree.ExtraTreeClassifier,-0.014671184738955794,0.025811579651941068
96,14,SVC_linear,-0.00036373865135407545,0.0010272861304909187
97,14,SVC_poly,-0.00027620878115111586,0.0011388597673605897
98,14,SVC_rbf,-0.0018594354316515116,0.0013687358901664302
99,14,SVC_sigmoid,-0.0042062877782691995,0.0029771118973905436
100,14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,-0.0032817557903189348,0.0031081403227020735
101,14,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,-0.008929744333320912,0.014639179090604922
102,14,sklearn.ensemble.ExtraTreesClassifier,-0.0003015665931517267,0.0009583534534610856
103,14,sklearn.ensemble.GradientBoostingClassifier,-0.0010574438549712812,0.0007335963055608921
104,14,sklearn.ensemble.RandomForestClassifier,-0.001130442662317057,0.0009341752443560248
105,14,sklearn.linear_model.LogisticRegression,-0.0018186262482742916,0.0014039080552371679
106,14,sklearn.linear_model.PassiveAggressiveClassifier,-0.001602524092475172,0.001548534478454086
107,14,sklearn.linear_model.Perceptron,-0.0008858382062502425,0.001215002129884212
108,14,sklearn.linear_model.RidgeClassifier,-0.00025274127070533603,0.001218342535707805
109,14,sklearn.linear_model.SGDClassifier,-0.0004743775682861927,0.0008755521128617573
110,14,sklearn.naive_bayes.BernoulliNB,0.0,0.0
111,14,sklearn.naive_bayes.MultinomialNB,-0.002230987104886839,0.0008968637506780421
112,14,sklearn.neighbors.KNeighborsClassifier,-0.0001590158609863098,0.0008934557295678917
113,14,sklearn.neural_network.MLPClassifier,-0.00033567425951531587,0.0008596535914416717
114,14,sklearn.tree.DecisionTreeClassifier,-0.0005907837731390137,0.0009041492401082807
115,14,sklearn.tree.ExtraTreeClassifier,-0.0019330136426155217,0.00048790007806401336
116,16,SVC_linear,-0.0005145520258702594,0.0013875678988861434
117,16,SVC_poly,-0.0032587023911944957,0.0011156931683172007
