,openmlid,learner,violation,acceptance
0,3,SVC_linear,"[0.25   0.375  0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.4375 0.3125 0.3125 0.25   0.25   0.3125 0.3125 0.25
 0.25   0.25   0.3125 0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.25
 0.25   0.25   0.25   0.25   0.4375 0.375  0.375  0.3125 0.3125 0.3125
 0.3125 0.375  0.4375 0.5    0.4375 0.3125 0.4375 0.375  0.375  0.375
 0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375  0.5    0.5
 0.5    0.375  0.25   0.4375 0.375  0.3125 0.4375 0.25   0.3125 0.4375
 0.4375 0.375  0.3125 0.4375 0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.5    0.3125 0.3125 0.3125 0.4375 0.3125 0.3125 0.25
 0.25   0.25   0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.375  0.4375 0.3125 0.3125 0.25   0.25   0.25   0.25   0.3125 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.75   0.625  0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5625 0.6875 0.6875 0.75   0.75   0.6875 0.6875 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.75
 0.75   0.75   0.75   0.75   0.5625 0.625  0.625  0.6875 0.6875 0.6875
 0.6875 0.625  0.5625 0.5    0.5625 0.6875 0.5625 0.625  0.625  0.625
 0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625  0.5    0.5
 0.5    0.625  0.75   0.5625 0.625  0.6875 0.5625 0.75   0.6875 0.5625
 0.5625 0.625  0.6875 0.5625 0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5    0.6875 0.6875 0.6875 0.5625 0.6875 0.6875 0.75
 0.75   0.75   0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.625  0.5625 0.6875 0.6875 0.75   0.75   0.75   0.75   0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625]"
1,3,SVC_poly,"[0.3125 0.25   0.375  0.375  0.3125 0.3125 0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.5    0.375  0.3125 0.3125 0.25   0.3125 0.3125 0.25
 0.25   0.25   0.3125 0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.25
 0.25   0.25   0.25   0.3125 0.4375 0.3125 0.3125 0.25   0.3125 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375 0.25   0.4375 0.4375 0.375  0.25
 0.25   0.375  0.3125 0.3125 0.3125 0.3125 0.3125 0.375  0.4375 0.5
 0.4375 0.375  0.25   0.375  0.4375 0.4375 0.4375 0.375  0.3125 0.375
 0.5    0.4375 0.375  0.375  0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.3125 0.25   0.25   0.3125 0.25   0.3125 0.3125 0.375  0.375
 0.4375 0.4375 0.5    0.375  0.3125 0.3125 0.3125 0.25   0.25   0.375
 0.4375 0.375  0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.4375 0.375  0.25   0.25   0.25   0.25   0.3125 0.3125 0.375  0.3125
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.6875 0.75   0.625  0.625  0.6875 0.6875 0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5    0.625  0.6875 0.6875 0.75   0.6875 0.6875 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.75
 0.75   0.75   0.75   0.6875 0.5625 0.6875 0.6875 0.75   0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625 0.75   0.5625 0.5625 0.625  0.75
 0.75   0.625  0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.5
 0.5625 0.625  0.75   0.625  0.5625 0.5625 0.5625 0.625  0.6875 0.625
 0.5    0.5625 0.625  0.625  0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.6875 0.75   0.75   0.6875 0.75   0.6875 0.6875 0.625  0.625
 0.5625 0.5625 0.5    0.625  0.6875 0.6875 0.6875 0.75   0.75   0.625
 0.5625 0.625  0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.5625 0.625  0.75   0.75   0.75   0.75   0.6875 0.6875 0.625  0.6875
 0.6875 0.625  0.5625 0.5625 0.5625]"
2,3,SVC_rbf,"[0.25   0.3125 0.25   0.25   0.25   0.25   0.375  0.375  0.3125 0.4375
 0.4375 0.4375 0.4375 0.25   0.25   0.25   0.25   0.25   0.3125 0.3125
 0.25   0.3125 0.375  0.3125 0.3125 0.375  0.4375 0.5    0.4375 0.25
 0.25   0.25   0.25   0.3125 0.3125 0.3125 0.3125 0.3125 0.3125 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375 0.25   0.375  0.375  0.375  0.25
 0.25   0.3125 0.3125 0.3125 0.375  0.3125 0.3125 0.375  0.4375 0.4375
 0.5    0.375  0.3125 0.375  0.375  0.25   0.375  0.4375 0.3125 0.3125
 0.375  0.3125 0.3125 0.4375 0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.25   0.3125 0.25   0.25   0.3125 0.375  0.3125 0.375
 0.4375 0.4375 0.4375 0.3125 0.25   0.4375 0.25   0.25   0.25   0.3125
 0.25   0.3125 0.4375 0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.4375 0.4375 0.25   0.25   0.25   0.3125 0.3125 0.3125 0.4375 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.75   0.6875 0.75   0.75   0.75   0.75   0.625  0.625  0.6875 0.5625
 0.5625 0.5625 0.5625 0.75   0.75   0.75   0.75   0.75   0.6875 0.6875
 0.75   0.6875 0.625  0.6875 0.6875 0.625  0.5625 0.5    0.5625 0.75
 0.75   0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625 0.75   0.625  0.625  0.625  0.75
 0.75   0.6875 0.6875 0.6875 0.625  0.6875 0.6875 0.625  0.5625 0.5625
 0.5    0.625  0.6875 0.625  0.625  0.75   0.625  0.5625 0.6875 0.6875
 0.625  0.6875 0.6875 0.5625 0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.75   0.6875 0.75   0.75   0.6875 0.625  0.6875 0.625
 0.5625 0.5625 0.5625 0.6875 0.75   0.5625 0.75   0.75   0.75   0.6875
 0.75   0.6875 0.5625 0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.5625 0.5625 0.75   0.75   0.75   0.6875 0.6875 0.6875 0.5625 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625]"
3,3,SVC_sigmoid,"[0.4375 0.4375 0.375  0.4375 0.375  0.375  0.375  0.4375 0.4375 0.375
 0.5    0.5    0.5625 0.4375 0.5    0.5    0.3125 0.3125 0.375  0.4375
 0.4375 0.4375 0.4375 0.4375 0.4375 0.375  0.5    0.5    0.5    0.4375
 0.5    0.4375 0.375  0.375  0.4375 0.25   0.4375 0.4375 0.4375 0.375
 0.375  0.375  0.5    0.5    0.4375 0.4375 0.4375 0.5    0.375  0.375
 0.375  0.3125 0.4375 0.375  0.4375 0.4375 0.375  0.375  0.5    0.5625
 0.5625 0.5    0.5    0.4375 0.4375 0.375  0.3125 0.3125 0.375  0.4375
 0.5    0.375  0.5    0.375  0.5    0.4375 0.5    0.375  0.5    0.5
 0.4375 0.375  0.375  0.3125 0.4375 0.4375 0.5    0.4375 0.4375 0.4375
 0.5    0.5625 0.5625 0.4375 0.5    0.5    0.4375 0.375  0.375  0.3125
 0.4375 0.375  0.375  0.375  0.4375 0.4375 0.5    0.5625 0.625  0.5
 0.5    0.5625 0.5    0.4375 0.3125 0.3125 0.375  0.4375 0.5    0.4375
 0.4375 0.375  0.5    0.5625 0.5625]","[0.5625 0.5625 0.625  0.5625 0.625  0.625  0.625  0.5625 0.5625 0.625
 0.5    0.5    0.4375 0.5625 0.5    0.5    0.6875 0.6875 0.625  0.5625
 0.5625 0.5625 0.5625 0.5625 0.5625 0.625  0.5    0.5    0.5    0.5625
 0.5    0.5625 0.625  0.625  0.5625 0.75   0.5625 0.5625 0.5625 0.625
 0.625  0.625  0.5    0.5    0.5625 0.5625 0.5625 0.5    0.625  0.625
 0.625  0.6875 0.5625 0.625  0.5625 0.5625 0.625  0.625  0.5    0.4375
 0.4375 0.5    0.5    0.5625 0.5625 0.625  0.6875 0.6875 0.625  0.5625
 0.5    0.625  0.5    0.625  0.5    0.5625 0.5    0.625  0.5    0.5
 0.5625 0.625  0.625  0.6875 0.5625 0.5625 0.5    0.5625 0.5625 0.5625
 0.5    0.4375 0.4375 0.5625 0.5    0.5    0.5625 0.625  0.625  0.6875
 0.5625 0.625  0.625  0.625  0.5625 0.5625 0.5    0.4375 0.375  0.5
 0.5    0.4375 0.5    0.5625 0.6875 0.6875 0.625  0.5625 0.5    0.5625
 0.5625 0.625  0.5    0.4375 0.4375]"
4,3,sklearn.ensemble.ExtraTreesClassifier,"[0.25   0.3125 0.375  0.375  0.3125 0.25   0.3125 0.3125 0.375  0.375
 0.4375 0.4375 0.4375 0.25   0.375  0.25   0.4375 0.375  0.375  0.4375
 0.3125 0.375  0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.5    0.3125
 0.25   0.25   0.3125 0.25   0.375  0.25   0.375  0.25   0.375  0.3125
 0.3125 0.375  0.5    0.4375 0.4375 0.25   0.25   0.4375 0.4375 0.25
 0.25   0.25   0.3125 0.3125 0.3125 0.3125 0.3125 0.375  0.4375 0.4375
 0.4375 0.375  0.4375 0.4375 0.375  0.375  0.4375 0.375  0.3125 0.4375
 0.5    0.3125 0.3125 0.4375 0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.3125 0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.4375 0.3125 0.3125 0.4375 0.4375 0.25   0.25   0.3125
 0.375  0.3125 0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.375  0.3125 0.25   0.3125 0.25   0.25   0.25   0.3125 0.375  0.375
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.75   0.6875 0.625  0.625  0.6875 0.75   0.6875 0.6875 0.625  0.625
 0.5625 0.5625 0.5625 0.75   0.625  0.75   0.5625 0.625  0.625  0.5625
 0.6875 0.625  0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5    0.6875
 0.75   0.75   0.6875 0.75   0.625  0.75   0.625  0.75   0.625  0.6875
 0.6875 0.625  0.5    0.5625 0.5625 0.75   0.75   0.5625 0.5625 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.5625
 0.5625 0.625  0.5625 0.5625 0.625  0.625  0.5625 0.625  0.6875 0.5625
 0.5    0.6875 0.6875 0.5625 0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.6875 0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5625 0.6875 0.6875 0.5625 0.5625 0.75   0.75   0.6875
 0.625  0.6875 0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.625  0.6875 0.75   0.6875 0.75   0.75   0.75   0.6875 0.625  0.625
 0.6875 0.625  0.5625 0.5625 0.5625]"
5,3,sklearn.ensemble.GradientBoostingClassifier,"[0.4375 0.375  0.375  0.25   0.3125 0.25   0.3125 0.3125 0.375  0.4375
 0.4375 0.4375 0.4375 0.4375 0.375  0.25   0.4375 0.4375 0.3125 0.3125
 0.25   0.25   0.4375 0.3125 0.3125 0.4375 0.4375 0.4375 0.5    0.3125
 0.25   0.25   0.25   0.25   0.3125 0.25   0.25   0.3125 0.375  0.3125
 0.3125 0.375  0.5    0.4375 0.4375 0.25   0.25   0.4375 0.375  0.3125
 0.25   0.3125 0.375  0.375  0.3125 0.3125 0.3125 0.4375 0.4375 0.4375
 0.4375 0.375  0.3125 0.4375 0.375  0.4375 0.4375 0.3125 0.3125 0.375
 0.5    0.3125 0.375  0.5    0.4375 0.4375 0.5    0.25   0.25   0.25
 0.25   0.4375 0.375  0.375  0.3125 0.25   0.4375 0.3125 0.375  0.4375
 0.4375 0.4375 0.4375 0.25   0.3125 0.5    0.4375 0.4375 0.5    0.3125
 0.375  0.3125 0.375  0.375  0.3125 0.375  0.4375 0.5    0.4375 0.25
 0.25   0.25   0.3125 0.3125 0.3125 0.375  0.3125 0.25   0.375  0.3125
 0.3125 0.4375 0.5    0.4375 0.5   ]","[0.5625 0.625  0.625  0.75   0.6875 0.75   0.6875 0.6875 0.625  0.5625
 0.5625 0.5625 0.5625 0.5625 0.625  0.75   0.5625 0.5625 0.6875 0.6875
 0.75   0.75   0.5625 0.6875 0.6875 0.5625 0.5625 0.5625 0.5    0.6875
 0.75   0.75   0.75   0.75   0.6875 0.75   0.75   0.6875 0.625  0.6875
 0.6875 0.625  0.5    0.5625 0.5625 0.75   0.75   0.5625 0.625  0.6875
 0.75   0.6875 0.625  0.625  0.6875 0.6875 0.6875 0.5625 0.5625 0.5625
 0.5625 0.625  0.6875 0.5625 0.625  0.5625 0.5625 0.6875 0.6875 0.625
 0.5    0.6875 0.625  0.5    0.5625 0.5625 0.5    0.75   0.75   0.75
 0.75   0.5625 0.625  0.625  0.6875 0.75   0.5625 0.6875 0.625  0.5625
 0.5625 0.5625 0.5625 0.75   0.6875 0.5    0.5625 0.5625 0.5    0.6875
 0.625  0.6875 0.625  0.625  0.6875 0.625  0.5625 0.5    0.5625 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.6875 0.75   0.625  0.6875
 0.6875 0.5625 0.5    0.5625 0.5   ]"
6,3,sklearn.ensemble.RandomForestClassifier,"[0.25   0.5    0.375  0.3125 0.25   0.25   0.3125 0.3125 0.375  0.375
 0.4375 0.4375 0.4375 0.25   0.25   0.25   0.375  0.375  0.4375 0.4375
 0.3125 0.375  0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.3125
 0.25   0.25   0.25   0.25   0.25   0.25   0.25   0.25   0.3125 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375 0.25   0.375  0.4375 0.375  0.25
 0.25   0.375  0.3125 0.3125 0.375  0.3125 0.3125 0.375  0.4375 0.4375
 0.4375 0.375  0.3125 0.375  0.4375 0.375  0.4375 0.375  0.3125 0.3125
 0.4375 0.4375 0.3125 0.375  0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.4375 0.25   0.25   0.4375 0.375  0.25   0.375  0.375
 0.375  0.3125 0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.375  0.3125 0.25   0.25   0.25   0.25   0.25   0.3125 0.375  0.3125
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.75   0.5    0.625  0.6875 0.75   0.75   0.6875 0.6875 0.625  0.625
 0.5625 0.5625 0.5625 0.75   0.75   0.75   0.625  0.625  0.5625 0.5625
 0.6875 0.625  0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.6875
 0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625 0.75   0.625  0.5625 0.625  0.75
 0.75   0.625  0.6875 0.6875 0.625  0.6875 0.6875 0.625  0.5625 0.5625
 0.5625 0.625  0.6875 0.625  0.5625 0.625  0.5625 0.625  0.6875 0.6875
 0.5625 0.5625 0.6875 0.625  0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5625 0.75   0.75   0.5625 0.625  0.75   0.625  0.625
 0.625  0.6875 0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.625  0.6875 0.75   0.75   0.75   0.75   0.75   0.6875 0.625  0.6875
 0.6875 0.625  0.5625 0.5625 0.5625]"
7,3,sklearn.linear_model.LogisticRegression,"[0.25   0.25   0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.4375
 0.4375 0.4375 0.5    0.3125 0.25   0.3125 0.25   0.25   0.3125 0.25
 0.25   0.25   0.3125 0.3125 0.3125 0.375  0.4375 0.5    0.4375 0.25
 0.25   0.25   0.25   0.25   0.375  0.375  0.3125 0.3125 0.375  0.3125
 0.3125 0.375  0.4375 0.4375 0.4375 0.3125 0.4375 0.375  0.375  0.375
 0.25   0.25   0.25   0.25   0.375  0.3125 0.3125 0.375  0.4375 0.4375
 0.5    0.375  0.375  0.4375 0.375  0.4375 0.375  0.25   0.3125 0.375
 0.4375 0.375  0.3125 0.4375 0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.25   0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375
 0.4375 0.4375 0.5    0.375  0.25   0.25   0.4375 0.25   0.375  0.375
 0.3125 0.25   0.375  0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.375  0.375  0.25   0.25   0.3125 0.25   0.25   0.25   0.3125 0.3125
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.5625
 0.5625 0.5625 0.5    0.6875 0.75   0.6875 0.75   0.75   0.6875 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.5625 0.5    0.5625 0.75
 0.75   0.75   0.75   0.75   0.625  0.625  0.6875 0.6875 0.625  0.6875
 0.6875 0.625  0.5625 0.5625 0.5625 0.6875 0.5625 0.625  0.625  0.625
 0.75   0.75   0.75   0.75   0.625  0.6875 0.6875 0.625  0.5625 0.5625
 0.5    0.625  0.625  0.5625 0.625  0.5625 0.625  0.75   0.6875 0.625
 0.5625 0.625  0.6875 0.5625 0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5    0.625  0.75   0.75   0.5625 0.75   0.625  0.625
 0.6875 0.75   0.625  0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.625  0.625  0.75   0.75   0.6875 0.75   0.75   0.75   0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625]"
8,3,sklearn.linear_model.PassiveAggressiveClassifier,"[0.25   0.3125 0.25   0.3125 0.3125 0.3125 0.3125 0.3125 0.375  0.375
 0.4375 0.4375 0.5    0.375  0.375  0.3125 0.3125 0.25   0.3125 0.25
 0.3125 0.3125 0.3125 0.375  0.5    0.375  0.5    0.5    0.4375 0.25
 0.25   0.25   0.25   0.25   0.375  0.375  0.25   0.3125 0.3125 0.3125
 0.375  0.375  0.4375 0.4375 0.4375 0.3125 0.4375 0.375  0.4375 0.375
 0.25   0.25   0.375  0.3125 0.3125 0.3125 0.3125 0.375  0.4375 0.5
 0.4375 0.4375 0.3125 0.4375 0.25   0.3125 0.5    0.375  0.25   0.3125
 0.3125 0.375  0.3125 0.4375 0.4375 0.4375 0.4375 0.25   0.25   0.25
 0.25   0.25   0.25   0.25   0.375  0.3125 0.375  0.3125 0.3125 0.375
 0.4375 0.4375 0.5625 0.375  0.3125 0.3125 0.375  0.375  0.25   0.375
 0.375  0.3125 0.4375 0.3125 0.3125 0.375  0.4375 0.4375 0.4375 0.375
 0.375  0.375  0.3125 0.3125 0.25   0.25   0.3125 0.25   0.375  0.3125
 0.3125 0.375  0.4375 0.4375 0.5   ]","[0.75   0.6875 0.75   0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.625
 0.5625 0.5625 0.5    0.625  0.625  0.6875 0.6875 0.75   0.6875 0.75
 0.6875 0.6875 0.6875 0.625  0.5    0.625  0.5    0.5    0.5625 0.75
 0.75   0.75   0.75   0.75   0.625  0.625  0.75   0.6875 0.6875 0.6875
 0.625  0.625  0.5625 0.5625 0.5625 0.6875 0.5625 0.625  0.5625 0.625
 0.75   0.75   0.625  0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.5
 0.5625 0.5625 0.6875 0.5625 0.75   0.6875 0.5    0.625  0.75   0.6875
 0.6875 0.625  0.6875 0.5625 0.5625 0.5625 0.5625 0.75   0.75   0.75
 0.75   0.75   0.75   0.75   0.625  0.6875 0.625  0.6875 0.6875 0.625
 0.5625 0.5625 0.4375 0.625  0.6875 0.6875 0.625  0.625  0.75   0.625
 0.625  0.6875 0.5625 0.6875 0.6875 0.625  0.5625 0.5625 0.5625 0.625
 0.625  0.625  0.6875 0.6875 0.75   0.75   0.6875 0.75   0.625  0.6875
 0.6875 0.625  0.5625 0.5625 0.5   ]"
9,3,sklearn.linear_model.Perceptron,"[0.3125 0.5    0.3125 0.3125 0.25   0.3125 0.3125 0.3125 0.375  0.5
 0.5    0.5    0.4375 0.4375 0.375  0.4375 0.375  0.25   0.25   0.3125
 0.3125 0.375  0.3125 0.375  0.3125 0.375  0.4375 0.5    0.4375 0.375
 0.25   0.25   0.25   0.3125 0.3125 0.3125 0.375  0.25   0.3125 0.3125
 0.3125 0.375  0.5    0.5    0.4375 0.375  0.375  0.375  0.375  0.25
 0.25   0.375  0.3125 0.25   0.375  0.375  0.3125 0.375  0.5    0.4375
 0.5    0.4375 0.4375 0.375  0.25   0.375  0.4375 0.3125 0.25   0.25
 0.5    0.375  0.375  0.5    0.375  0.4375 0.5625 0.3125 0.25   0.3125
 0.4375 0.25   0.375  0.375  0.3125 0.3125 0.375  0.375  0.375  0.375
 0.5625 0.4375 0.4375 0.3125 0.3125 0.3125 0.3125 0.375  0.4375 0.25
 0.375  0.25   0.3125 0.375  0.375  0.375  0.4375 0.4375 0.5625 0.4375
 0.375  0.5    0.4375 0.4375 0.375  0.25   0.3125 0.25   0.375  0.375
 0.3125 0.375  0.4375 0.4375 0.4375]","[0.6875 0.5    0.6875 0.6875 0.75   0.6875 0.6875 0.6875 0.625  0.5
 0.5    0.5    0.5625 0.5625 0.625  0.5625 0.625  0.75   0.75   0.6875
 0.6875 0.625  0.6875 0.625  0.6875 0.625  0.5625 0.5    0.5625 0.625
 0.75   0.75   0.75   0.6875 0.6875 0.6875 0.625  0.75   0.6875 0.6875
 0.6875 0.625  0.5    0.5    0.5625 0.625  0.625  0.625  0.625  0.75
 0.75   0.625  0.6875 0.75   0.625  0.625  0.6875 0.625  0.5    0.5625
 0.5    0.5625 0.5625 0.625  0.75   0.625  0.5625 0.6875 0.75   0.75
 0.5    0.625  0.625  0.5    0.625  0.5625 0.4375 0.6875 0.75   0.6875
 0.5625 0.75   0.625  0.625  0.6875 0.6875 0.625  0.625  0.625  0.625
 0.4375 0.5625 0.5625 0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.75
 0.625  0.75   0.6875 0.625  0.625  0.625  0.5625 0.5625 0.4375 0.5625
 0.625  0.5    0.5625 0.5625 0.625  0.75   0.6875 0.75   0.625  0.625
 0.6875 0.625  0.5625 0.5625 0.5625]"
