,openmlid,learner,max_violation
0,3,SVC_linear,0.0004938519337016542
1,3,SVC_poly,0.0
2,3,SVC_rbf,0.0
3,3,SVC_sigmoid,0.029977000000000087
4,3,sklearn.ensemble.ExtraTreesClassifier,0.0
5,3,sklearn.ensemble.GradientBoostingClassifier,3.4797790055253464e-05
6,3,sklearn.ensemble.RandomForestClassifier,0.0
7,3,sklearn.linear_model.LogisticRegression,0.0
8,3,sklearn.linear_model.PassiveAggressiveClassifier,0.001044662499999946
9,3,sklearn.linear_model.Perceptron,0.0030292562500000286
10,3,sklearn.linear_model.RidgeClassifier,2.0380110497250636e-05
11,3,sklearn.linear_model.SGDClassifier,0.0020374062499999637
12,3,sklearn.naive_bayes.BernoulliNB,0.00060309999999969
13,3,sklearn.naive_bayes.MultinomialNB,0.00019338342541438958
14,3,sklearn.neighbors.KNeighborsClassifier,0.0
15,3,sklearn.neural_network.MLPClassifier,0.0
16,3,sklearn.tree.DecisionTreeClassifier,0.009602049999999807
17,3,sklearn.tree.ExtraTreeClassifier,0.004945700000000164
18,6,SVC_linear,0.0030724552486188217
19,6,SVC_poly,0.0
20,6,SVC_rbf,0.004248763636363062
21,6,SVC_sigmoid,0.004009054545454749
22,6,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.014371672727273022
23,6,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.2583540687500001
24,6,sklearn.ensemble.ExtraTreesClassifier,0.0
25,6,sklearn.ensemble.GradientBoostingClassifier,0.0022165090909092022
26,6,sklearn.ensemble.RandomForestClassifier,0.000866072727272682
27,6,sklearn.linear_model.LogisticRegression,0.0
28,6,sklearn.linear_model.PassiveAggressiveClassifier,0.0124076730468754
29,6,sklearn.linear_model.Perceptron,0.009641656249999575
30,6,sklearn.linear_model.RidgeClassifier,0.0007992634765626172
31,6,sklearn.linear_model.SGDClassifier,0.007438887500000213
32,6,sklearn.naive_bayes.BernoulliNB,0.0009211750000003294
33,6,sklearn.naive_bayes.MultinomialNB,0.0
34,6,sklearn.neighbors.KNeighborsClassifier,0.0038309818181817556
35,6,sklearn.neural_network.MLPClassifier,0.0038861171270717088
36,6,sklearn.tree.DecisionTreeClassifier,0.0
37,6,sklearn.tree.ExtraTreeClassifier,0.0
38,11,SVC_linear,0.0011988437500000115
39,11,SVC_poly,0.0
40,11,SVC_rbf,0.001471024999999987
41,11,SVC_sigmoid,0.02355324999999986
42,11,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0008251777777777691
43,11,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.013155250000000063
44,11,sklearn.ensemble.ExtraTreesClassifier,0.0047906000000000615
45,11,sklearn.ensemble.GradientBoostingClassifier,0.0021453749999999494
46,11,sklearn.ensemble.RandomForestClassifier,0.0
47,11,sklearn.linear_model.LogisticRegression,0.00024004999999999166
48,11,sklearn.linear_model.PassiveAggressiveClassifier,0.0041727250000000715
49,11,sklearn.linear_model.Perceptron,0.011522800000000083
50,11,sklearn.linear_model.RidgeClassifier,0.000804614814814808
51,11,sklearn.linear_model.SGDClassifier,0.004788909090909038
52,11,sklearn.naive_bayes.BernoulliNB,2.220446049250313e-16
53,11,sklearn.naive_bayes.MultinomialNB,0.003937999999999886
54,11,sklearn.neighbors.KNeighborsClassifier,0.0033106608695651074
55,11,sklearn.neural_network.MLPClassifier,0.0017361812499999546
56,11,sklearn.tree.DecisionTreeClassifier,0.006080675000000035
57,11,sklearn.tree.ExtraTreeClassifier,0.005995527272727341
58,12,SVC_linear,0.0
59,12,SVC_poly,0.012279099999999654
60,12,SVC_rbf,0.03313524999999984
61,12,SVC_sigmoid,0.06015977857142818
62,12,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.04175591160221001
63,12,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.18513591304347832
64,12,sklearn.ensemble.ExtraTreesClassifier,0.0
65,12,sklearn.ensemble.GradientBoostingClassifier,0.0
66,12,sklearn.ensemble.RandomForestClassifier,0.0
67,12,sklearn.linear_model.LogisticRegression,0.0
68,12,sklearn.linear_model.PassiveAggressiveClassifier,0.005384872727272838
69,12,sklearn.linear_model.Perceptron,0.010019287499999752
70,12,sklearn.linear_model.RidgeClassifier,0.08662875000000003
71,12,sklearn.linear_model.SGDClassifier,0.030279950000000277
72,12,sklearn.naive_bayes.BernoulliNB,0.008435591111110918
73,12,sklearn.naive_bayes.MultinomialNB,5.6349999999899536e-05
74,12,sklearn.neighbors.KNeighborsClassifier,0.0
75,12,sklearn.neural_network.MLPClassifier,0.05929128124999977
76,12,sklearn.tree.DecisionTreeClassifier,0.0009549499999996769
77,12,sklearn.tree.ExtraTreeClassifier,0.0
78,13,SVC_linear,0.006348399999999921
79,13,SVC_poly,0.008764050000000134
80,13,SVC_rbf,0.003066337142857145
81,13,SVC_sigmoid,0.0045913913043479915
82,13,sklearn.ensemble.ExtraTreesClassifier,0.0065235478260869395
83,13,sklearn.ensemble.GradientBoostingClassifier,0.012257150000000105
84,13,sklearn.ensemble.RandomForestClassifier,0.009176626086956796
85,13,sklearn.linear_model.LogisticRegression,0.0028739130434786153
86,13,sklearn.linear_model.PassiveAggressiveClassifier,0.014207975000000206
87,13,sklearn.linear_model.Perceptron,0.009911712500000058
88,13,sklearn.linear_model.RidgeClassifier,0.0036523125000000323
89,13,sklearn.linear_model.SGDClassifier,0.019435462499999945
90,13,sklearn.naive_bayes.BernoulliNB,0.008189950000000168
91,13,sklearn.naive_bayes.MultinomialNB,0.010558325000000035
92,13,sklearn.neighbors.KNeighborsClassifier,0.003853975000000176
93,13,sklearn.neural_network.MLPClassifier,0.009420208695652299
94,13,sklearn.tree.DecisionTreeClassifier,0.014315949999999855
95,13,sklearn.tree.ExtraTreeClassifier,0.018509099999999945
96,14,SVC_linear,0.00020506875000014801
97,14,SVC_poly,0.0
98,14,SVC_rbf,0.008080999999999339
99,14,SVC_sigmoid,0.0093852499999999
100,14,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.1550243250000004
101,14,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.27571759999999956
102,14,sklearn.ensemble.ExtraTreesClassifier,0.0010571937500001016
103,14,sklearn.ensemble.GradientBoostingClassifier,4.290909090909345e-05
104,14,sklearn.ensemble.RandomForestClassifier,0.0003546687500000645
105,14,sklearn.linear_model.LogisticRegression,0.012526100000000207
106,14,sklearn.linear_model.PassiveAggressiveClassifier,0.0036496062499999926
107,14,sklearn.linear_model.Perceptron,0.010429631250000237
108,14,sklearn.linear_model.RidgeClassifier,0.0
109,14,sklearn.linear_model.SGDClassifier,8.15499999999858e-05
110,14,sklearn.naive_bayes.BernoulliNB,3.3306690738754696e-16
111,14,sklearn.naive_bayes.MultinomialNB,0.02565824999999977
112,14,sklearn.neighbors.KNeighborsClassifier,0.0
113,14,sklearn.neural_network.MLPClassifier,0.0015145312499998398
114,14,sklearn.tree.DecisionTreeClassifier,0.0
115,14,sklearn.tree.ExtraTreeClassifier,0.011372050000000189
116,16,SVC_linear,0.0020510624999999783
117,16,SVC_poly,0.008116399999999357
118,16,SVC_rbf,0.0
119,16,SVC_sigmoid,0.0
120,16,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.06430493913043478
121,16,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.1896927911602213
122,16,sklearn.ensemble.ExtraTreesClassifier,0.00030695624999999005
123,16,sklearn.ensemble.GradientBoostingClassifier,0.0013442000000002396
124,16,sklearn.ensemble.RandomForestClassifier,0.0
125,16,sklearn.linear_model.LogisticRegression,0.0
126,16,sklearn.linear_model.PassiveAggressiveClassifier,0.0
127,16,sklearn.linear_model.Perceptron,0.0026865499999996767
128,16,sklearn.linear_model.RidgeClassifier,0.08798709565217377
129,16,sklearn.linear_model.SGDClassifier,0.0
130,16,sklearn.naive_bayes.BernoulliNB,0.0
131,16,sklearn.neighbors.KNeighborsClassifier,0.0
132,16,sklearn.neural_network.MLPClassifier,0.0
133,16,sklearn.tree.DecisionTreeClassifier,0.0
134,16,sklearn.tree.ExtraTreeClassifier,0.004611649999999856
135,18,SVC_linear,0.007956706250000112
136,18,SVC_poly,0.006796049999999831
137,18,SVC_rbf,0.011278849999999507
138,18,SVC_sigmoid,0.005702276243093385
139,18,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0018862625000000133
140,18,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.21130434782608842
141,18,sklearn.ensemble.ExtraTreesClassifier,0.0008198428571429828
142,18,sklearn.ensemble.GradientBoostingClassifier,0.0
143,18,sklearn.ensemble.RandomForestClassifier,0.0002392687499997992
144,18,sklearn.linear_model.LogisticRegression,0.005774332142857164
145,18,sklearn.linear_model.PassiveAggressiveClassifier,0.0035987062500000278
146,18,sklearn.linear_model.Perceptron,0.00668244285714259
147,18,sklearn.linear_model.RidgeClassifier,0.0024342497237569982
148,18,sklearn.linear_model.SGDClassifier,0.009725750276243783
149,18,sklearn.naive_bayes.BernoulliNB,0.001723759999999852
150,18,sklearn.naive_bayes.MultinomialNB,0.0016520799999997782
151,18,sklearn.neighbors.KNeighborsClassifier,0.004201493750000007
152,18,sklearn.neural_network.MLPClassifier,0.022762949999999837
153,18,sklearn.tree.DecisionTreeClassifier,0.001266999999999907
154,18,sklearn.tree.ExtraTreeClassifier,0.00018493750000025955
155,21,SVC_linear,0.0
156,21,SVC_poly,0.0007025500000001073
157,21,SVC_rbf,0.001072824999999944
158,21,SVC_sigmoid,0.0023616500000000484
159,21,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.0
160,21,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.15440794375000044
161,21,sklearn.ensemble.ExtraTreesClassifier,0.0003520652173913952
162,21,sklearn.ensemble.GradientBoostingClassifier,0.0009054000000000006
163,21,sklearn.ensemble.RandomForestClassifier,0.0
164,21,sklearn.linear_model.LogisticRegression,0.0009296499999999486
165,21,sklearn.linear_model.PassiveAggressiveClassifier,0.0019417000000000184
166,21,sklearn.linear_model.Perceptron,0.0012055513812153362
167,21,sklearn.linear_model.RidgeClassifier,8.214062500003227e-05
168,21,sklearn.linear_model.SGDClassifier,0.0001806545454544617
169,21,sklearn.naive_bayes.BernoulliNB,0.0036546171875000144
170,21,sklearn.naive_bayes.MultinomialNB,0.0018316093749998763
171,21,sklearn.neighbors.KNeighborsClassifier,0.002183652173913253
172,21,sklearn.neural_network.MLPClassifier,0.006591937500000006
173,21,sklearn.tree.DecisionTreeClassifier,0.0
174,21,sklearn.tree.ExtraTreeClassifier,0.004495954545454428
175,22,SVC_linear,0.0028858428571428285
176,22,SVC_poly,0.0
177,22,SVC_rbf,0.011623649999999874
178,22,SVC_sigmoid,0.023373699999999498
179,22,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.05643742499999971
180,22,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.18498377391304321
181,22,sklearn.ensemble.ExtraTreesClassifier,0.0
182,22,sklearn.ensemble.GradientBoostingClassifier,0.005362649999999469
183,22,sklearn.ensemble.RandomForestClassifier,0.0
184,22,sklearn.linear_model.LogisticRegression,0.0
185,22,sklearn.linear_model.PassiveAggressiveClassifier,0.0
186,22,sklearn.linear_model.Perceptron,0.008423731250000122
187,22,sklearn.linear_model.RidgeClassifier,0.08070818181818196
188,22,sklearn.linear_model.SGDClassifier,0.011037699999999706
189,22,sklearn.naive_bayes.BernoulliNB,3.3306690738754696e-16
190,22,sklearn.naive_bayes.MultinomialNB,0.0005071937499998569
191,22,sklearn.neighbors.KNeighborsClassifier,0.0
192,22,sklearn.neural_network.MLPClassifier,0.007373049999999881
193,22,sklearn.tree.DecisionTreeClassifier,0.0009994124999999632
194,22,sklearn.tree.ExtraTreeClassifier,0.002921130434783481
195,23,SVC_linear,0.025915644444444275
196,23,SVC_poly,0.015073454545454501
197,23,SVC_rbf,0.023968909090908985
198,23,SVC_sigmoid,0.06432317948717903
199,23,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.006303155555555606
200,23,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.08630975000000018
201,23,sklearn.ensemble.ExtraTreesClassifier,0.005875272727272618
202,23,sklearn.ensemble.GradientBoostingClassifier,0.009920608695652589
203,23,sklearn.ensemble.RandomForestClassifier,0.003731406250000291
204,23,sklearn.linear_model.LogisticRegression,0.006640512820512479
205,23,sklearn.linear_model.PassiveAggressiveClassifier,0.03479743749999997
206,23,sklearn.linear_model.Perceptron,0.05859909090909099
207,23,sklearn.linear_model.RidgeClassifier,0.006421911111111123
208,23,sklearn.linear_model.SGDClassifier,0.024722977777777544
209,23,sklearn.naive_bayes.BernoulliNB,0.005672956521739159
210,23,sklearn.naive_bayes.MultinomialNB,0.007628022099447573
211,23,sklearn.neighbors.KNeighborsClassifier,0.009929743589743245
212,23,sklearn.neural_network.MLPClassifier,0.031169062499999733
213,23,sklearn.tree.DecisionTreeClassifier,0.018672249999999835
214,23,sklearn.tree.ExtraTreeClassifier,0.023199562499999882
215,24,SVC_linear,3.509374999999994e-05
216,24,SVC_poly,0.0003513149171270706
217,24,SVC_rbf,0.0
218,24,SVC_sigmoid,0.0003028150963888046
219,24,sklearn.ensemble.ExtraTreesClassifier,0.00061313043478263
220,24,sklearn.ensemble.GradientBoostingClassifier,0.0017549999999999961
221,24,sklearn.ensemble.RandomForestClassifier,0.0003237500000000046
222,24,sklearn.linear_model.LogisticRegression,0.0009035625000000103
223,24,sklearn.linear_model.PassiveAggressiveClassifier,0.00031856249999998726
224,24,sklearn.linear_model.Perceptron,0.0026813124999999806
225,24,sklearn.linear_model.RidgeClassifier,0.00013581249999999976
226,24,sklearn.linear_model.SGDClassifier,0.0002502983425414359
227,24,sklearn.naive_bayes.BernoulliNB,0.0017320312500000157
228,24,sklearn.naive_bayes.MultinomialNB,0.0033089375000000254
229,24,sklearn.neighbors.KNeighborsClassifier,0.0
230,24,sklearn.neural_network.MLPClassifier,0.00037971874999999725
231,24,sklearn.tree.DecisionTreeClassifier,0.001333454545454596
232,24,sklearn.tree.ExtraTreeClassifier,0.00034111539505837644
233,26,SVC_linear,0.0011749090909091708
234,26,SVC_poly,0.0015122499999998817
235,26,SVC_rbf,0.004727403314917153
236,26,SVC_sigmoid,0.003488687500000115
237,26,sklearn.discriminant_analysis.LinearDiscriminantAnalysis,0.02712725000000027
238,26,sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis,0.26091747826086953
239,26,sklearn.ensemble.ExtraTreesClassifier,0.0041473913043477695
240,26,sklearn.ensemble.RandomForestClassifier,0.005515636363636334
241,26,sklearn.linear_model.LogisticRegression,0.0
242,26,sklearn.linear_model.PassiveAggressiveClassifier,0.010428127027959921
243,26,sklearn.linear_model.Perceptron,0.013351531250000048
244,26,sklearn.linear_model.RidgeClassifier,0.0008898181818181028
245,26,sklearn.linear_model.SGDClassifier,0.010522181818181875
246,26,sklearn.naive_bayes.BernoulliNB,0.0008780331491713422
247,26,sklearn.naive_bayes.MultinomialNB,0.0005072812500000329
248,26,sklearn.neighbors.KNeighborsClassifier,0.0004976250000001126
249,26,sklearn.neural_network.MLPClassifier,0.002642656250000028
250,26,sklearn.tree.DecisionTreeClassifier,0.01427025000000004
251,26,sklearn.tree.ExtraTreeClassifier,0.029775999999999914
252,28,SVC_linear,0.00497993750000001
253,28,SVC_poly,0.0
254,28,SVC_rbf,0.009931499999999871
255,28,SVC_sigmoid,0.03574036363636335
